customer_id,email,phone,age,employment_type,monthly_income,account_age_months,credit_score,loan_amount,monthly_installment,previous_late_payments,avg_payment_delay_days,previous_defaults,days_past_due,current_outstanding,payment_frequency,payment_reliability_score,engagement_score,previous_reminder_response,amount_due,upcoming_installment_offset_days,risk_indicator_raw,risk_category,risk_category_pred,risk_score
CUSTOMER_0001,customer0001@example.com,+91-9000700000,35,Salaried,38957,26,599,92582,3348,3,7,0,0,66919,Weekly,63,62.0,Responded,3683,-9,0.1437,LOW,AT-RISK,26.0
CUSTOMER_0002,customer0002@example.com,+91-9000800001,32,Freelancer,64358,24,647,195292,19096,4,6,1,30,8258,Monthly,70,97.0,No Response,17291,6,0.1777,LOW,LOW,30.2
CUSTOMER_0003,customer0003@example.com,+91-9000300002,35,Self-Employed,21546,51,601,157444,4872,3,11,1,0,105875,Monthly,72,76.0,Responded,5212,4,0.199,AT-RISK,AT-RISK,34.6
CUSTOMER_0004,customer0004@example.com,+91-9000600003,31,Salaried,56813,24,749,239664,20969,3,10,0,10,59818,Monthly,87,72.0,Responded,22778,19,0.1055,LOW,LOW,6.3
CUSTOMER_0005,customer0005@example.com,+91-9000100004,21,Self-Employed,19446,19,619,128948,4310,8,6,1,15,13695,Monthly,55,61.0,No Response,4393,-12,0.2183,AT-RISK,HIGH,55.8
CUSTOMER_0006,customer0006@example.com,+91-9000500005,44,Salaried,46028,30,720,266400,13516,1,0,0,0,54444,Monthly,91,76.0,Responded,12712,4,0.084,LOW,LOW,0.5
CUSTOMER_0007,customer0007@example.com,+91-9000700006,43,Business Owner,51470,16,588,206044,13001,7,3,0,5,63779,Weekly,64,39.0,Responded,13705,19,0.2719,HIGH,HIGH,55.4
CUSTOMER_0008,customer0008@example.com,+91-9000600007,52,Salaried,29567,29,740,237409,22090,2,2,0,23,85051,Monthly,91,75.0,Responded,24837,17,0.1407,LOW,LOW,13.6
CUSTOMER_0009,customer0009@example.com,+91-9000600008,55,Salaried,60632,61,702,155925,14138,2,6,0,0,70492,Bi-Weekly,87,56.0,Responded,16015,5,0.1114,LOW,LOW,3.5
CUSTOMER_0010,customer0010@example.com,+91-9000700009,24,Salaried,17890,30,694,101591,3928,5,0,1,11,60230,Monthly,68,67.0,Responded,4267,29,0.2468,AT-RISK,AT-RISK,29.6
CUSTOMER_0011,customer0011@example.com,+91-9000600010,31,Salaried,58372,28,526,160358,7122,3,3,1,111,40722,Monthly,59,64.0,Responded,6879,-2,0.4578,CRITICAL,CRITICAL,76.9
CUSTOMER_0012,customer0012@example.com,+91-9000400011,57,Freelancer,37661,18,752,43096,4460,3,6,1,9,9680,Bi-Weekly,85,74.0,Responded,4984,15,0.1239,LOW,LOW,4.4
CUSTOMER_0013,customer0013@example.com,+91-9000600012,34,Salaried,26604,49,667,155473,16573,1,8,0,8,41274,Monthly,63,68.0,No Response,18598,6,0.0587,LOW,LOW,11.3
CUSTOMER_0014,customer0014@example.com,+91-9000900013,37,Business Owner,20221,54,716,168900,20674,1,8,0,51,47892,Monthly,75,72.0,No Response,20504,14,0.2333,AT-RISK,AT-RISK,34.5
CUSTOMER_0015,customer0015@example.com,+91-9000200014,21,Business Owner,39415,41,731,143724,5076,3,6,0,3,89749,Monthly,84,87.0,Responded,4800,13,0.1396,LOW,LOW,4.0
CUSTOMER_0016,customer0016@example.com,+91-9000400015,36,Salaried,12000,35,676,273325,9991,7,11,3,0,164713,Monthly,56,66.0,No Response,11176,20,0.3609,CRITICAL,CRITICAL,71.5
CUSTOMER_0017,customer0017@example.com,+91-9000600016,52,Salaried,40084,25,720,129876,16751,4,4,0,0,79084,Monthly,91,73.0,No Response,18782,26,0.0534,LOW,LOW,5.2
